game_id,side,id,year,region,round,high_bracket_seed,high_team_id,low_bracket_seed,low_team_id,high_bracket_score,low_bracket_score,point_diff,point_total,win
20211206,a,1206,2021,West,First Round,5,2021 Georgia Tech,12,2021 Stephen F. Austin,54,52,2,106,1
20221206,a,1206,2022,Midwest,First Round,5,2022 Oregon,12,2022 Belmont,70,73,-3,143,0
20231206,a,1206,2023,Midwest,First Round,5,2023 Washington St.,12,2023 Florida Gulf Coast,63,74,-11,137,0
20241206,a,1206,2024,Midwest,First Round,5,2024 Utah,12,2024 South Dakota St.,68,54,14,122,1
20251206a,a,1206,2025,Midwest,First Round,5,2025 Alabama,12,2025 Green Bay,81,67,14,148,1
20211306,a,1306,2021,South,First Round,5,2021 Gonzaga,12,2021 Belmont,59,64,-5,123,0
20221306,a,1306,2022,West,First Round,5,2022 Virginia Tech,12,2022 Florida Gulf Coast,81,84,-3,165,0
20231306,a,1306,2023,West,First Round,5,2023 Iowa St.,12,2023 Toledo,73,80,-7,153,0
20241306,a,1306,2024,East,First Round,5,2024 Colorado,12,2024 Drake,86,72,14,158,1
20251306a,a,1306,2025,East,First Round,5,2025 Tennessee,12,2025 South Florida,101,66,35,167,1
20211406,a,1406,2021,Midwest,First Round,5,2021 Iowa,12,2021 Central Michigan,87,72,15,159,1
20221406,a,1406,2022,East,First Round,5,2022 Notre Dame,12,2022 Massachusetts,89,78,11,167,1
20231406,a,1406,2023,East,First Round,5,2023 Louisville,12,2023 Drake,83,81,2,164,1
20241406,a,1406,2024,West,First Round,5,2024 Baylor,12,2024 Vanderbilt,80,63,17,143,1
20251406a,a,1406,2025,West,First Round,5,2025 Kansas St.,12,2025 Fairfield,85,41,44,126,1
20222210,b,2210,2022,Midwest,Second Round,4,2022 Tennessee,12,2022 Belmont,70,67,3,137,1
20232210,b,2210,2023,Midwest,Second Round,4,2023 Villanova,12,2023 Florida Gulf Coast,76,57,19,133,1
20212310,b,2310,2021,South,Second Round,4,2021 Indiana,12,2021 Belmont,70,48,22,118,1
20222310,b,2310,2022,West,Second Round,4,2022 Maryland,12,2022 Florida Gulf Coast,89,65,24,154,1
20232310,b,2310,2023,West,Second Round,4,2023 Tennessee,12,2023 Toledo,94,47,47,141,1
20211104,a,1104,2021,East,First Round,4,2021 Arkansas,13,2021 Wright St.,62,66,-4,128,0
20221104,a,1104,2022,South,First Round,4,2022 Arizona,13,2022 UNLV,72,67,5,139,1
20231104,a,1104,2023,South,First Round,4,2023 UCLA,13,2023 Sacramento St.,67,45,22,112,1
20241104,a,1104,2024,South,First Round,4,2024 Indiana,13,2024 Fairfield,89,56,33,145,1
20251104a,a,1104,2025,South,First Round,4,2025 Baylor,13,2025 Grand Canyon,73,60,13,133,1
20211204,a,1204,2021,West,First Round,4,2021 West Virginia,13,2021 Lehigh,77,53,24,130,1
20221204,a,1204,2022,Midwest,First Round,4,2022 Tennessee,13,2022 Buffalo,80,67,13,147,1
20231204,a,1204,2023,Midwest,First Round,4,2023 Villanova,13,2023 Cleveland St.,76,59,17,135,1
20241204,a,1204,2024,Midwest,First Round,4,2024 Gonzaga,13,2024 UC Irvine,75,56,19,131,1
20251204a,a,1204,2025,Midwest,First Round,4,2025 Maryland,13,2025 Norfolk St.,82,69,13,151,1
20211304,a,1304,2021,South,First Round,4,2021 Indiana,13,2021 VCU,63,32,31,95,1
20221304,a,1304,2022,West,First Round,4,2022 Maryland,13,2022 Delaware,102,71,31,173,1
20231304,a,1304,2023,West,First Round,4,2023 Tennessee,13,2023 Saint Louis,95,50,45,145,1
20241304,a,1304,2024,East,First Round,4,2024 Kansas St.,13,2024 Portland,78,65,13,143,1
20251304a,a,1304,2025,East,First Round,4,2025 Ohio St.,13,2025 Montana St.,71,51,20,122,1
