year,team,seed,tier,bracket_value,overall,offense,defense,finish
2025,Maryland,4,B,0.0,8.58,9.49,3.34,Sweet 16
2025,Notre Dame,3,S,0.0,9.76,9.22,9.33,Sweet 16
2025,Tennessee,5,B,0.0,8.98,9.06,5.76,Sweet 16
2021,Stanford,1,S,0.0,9.95,9.73,9.95,Champion
2022,South Carolina,1,S,0.0,9.81,7.69,9.73,Champion
2023,LSU,3,S,0.0,9.46,9.38,8.63,Champion
2024,South Carolina,1,S,0.0,10.0,9.76,9.84,Champion
2025,Connecticut,2,S,0.0,9.84,9.79,9.62,Champion
2021,Connecticut,1,S,0.0,9.65,9.57,9.79,Final Four
2021,South Carolina,1,S,0.0,9.25,6.35,8.82,Final Four
2022,Louisville,1,A,0.0,9.22,7.64,9.27,Final Four
2022,Stanford,1,S,0.0,9.73,8.66,9.14,Final Four
2023,South Carolina,1,S,0.0,9.97,9.65,9.81,Final Four
2023,Virginia Tech,1,A,0.0,8.93,9.17,5.54,Final Four
2024,North Carolina St.,3,A,0.0,8.23,4.98,7.66,Final Four
2024,Connecticut,3,S,0.0,9.62,9.62,8.55,Final Four
2025,UCLA,1,A,0.0,9.89,9.81,8.71,Final Four
2025,Texas,1,S,0.0,9.79,7.07,9.76,Final Four
2021,Arizona,3,A,0.0,7.85,3.15,9.49,Runner Up
2022,Connecticut,2,S,0.0,9.11,8.74,8.87,Runner Up
2023,Iowa,2,A,0.0,9.17,9.87,3.18,Runner Up
2024,Iowa,1,A,0.0,9.49,10.0,2.91,Runner Up
2025,South Carolina,1,S,0.0,9.92,9.25,9.6,Runner Up
2026,Connecticut,1,S,29.99,10.0,9.86,10.0,TBD
2026,South Carolina,1,S,23.4,9.86,9.43,9.86,TBD
2026,UCLA,1,S,24.81,9.71,10.0,8.43,TBD
2026,LSU,2,A,12.96,9.57,9.57,9.57,TBD
2026,Texas,2,S,16.4,9.43,8.0,9.71,TBD
2026,Michigan,2,A,8.22,9.29,9.29,8.57,TBD
2026,Vanderbilt,1,B,8.29,9.14,9.71,5.86,TBD
2026,Oklahoma,4,B,3.04,9.0,6.86,9.0,TBD
2026,Louisville,2,A,5.28,8.86,8.14,6.14,TBD
2026,TCU,4,B,4.55,8.71,8.86,8.71,TBD
2026,Ohio St.,3,B,3.44,8.57,6.71,7.0,TBD
2026,Maryland,4,B,3.68,8.43,9.14,7.71,TBD
2026,Duke,3,A,5.8,8.29,6.43,8.86,TBD
2026,Tennessee,5,B,2.73,8.14,7.71,8.0,TBD
2026,Baylor,6,C,1.63,8.0,4.71,9.14,TBD
2026,Iowa,3,C,4.03,7.86,8.57,4.0,TBD
2026,Michigan St.,3,B,2.82,7.71,8.29,5.29,TBD
2026,Texas Tech,6,C,1.54,7.57,5.86,9.29,TBD
2026,USC,7,D,1.19,7.43,3.86,9.43,TBD
2026,West Virginia,5,B,2.38,7.29,7.29,6.43,TBD
2026,North Carolina,5,B,2.28,7.14,6.29,8.29,TBD
2026,Kentucky,5,B,1.91,7.0,7.86,7.29,TBD
2026,Mississippi,4,B,2.67,6.86,6.0,7.43,TBD
2026,Minnesota,7,D,4.18,6.71,6.57,7.14,TBD
2026,Alabama,6,B,1.65,6.57,7.43,6.86,TBD
2026,Oregon,8,D,0.94,6.43,5.14,6.71,TBD
2026,Georgia,7,D,0.86,6.29,4.14,7.86,TBD
2026,Nebraska,9,D,0.69,6.14,8.71,3.43,TBD
2026,Washington,7,C,0.92,6.0,7.57,5.14,TBD
2026,N.C. State,6,C,2.68,5.86,4.57,4.43,TBD
2026,Iowa St.,9,D,0.8,5.71,8.43,2.71,TBD
2026,Syracuse,9,D,0.42,5.57,4.0,6.57,TBD
2026,Oklahoma St.,8,D,0.58,5.43,9.0,2.14,TBD
2026,Notre Dame,8,C,0.51,5.29,5.0,4.14,TBD
2026,Mississippi St.,9,C,0.5,5.14,7.0,3.86,TBD
2026,Villanova,10,D,0.35,5.0,4.43,5.71,TBD
2026,Virginia Tech,10,D,0.34,4.86,3.0,7.57,TBD
2026,Illinois,8,C,0.64,4.71,5.71,3.0,TBD
2026,Utah,12,D,0.21,4.57,4.86,3.57,TBD
2026,Princeton,10,D,0.11,4.43,6.14,1.29,TBD
2026,North Dakota St.,10,D,0.46,4.29,7.14,1.43,TBD
2026,Clemson,12,D,0.28,4.14,5.43,2.57,TBD
2026,Rhode Island,11,D,0.45,4.0,2.29,4.29,TBD
2026,Louisiana Tech,13,F,0.12,3.86,5.29,5.43,TBD
2026,Gonzaga,11,D,0.37,3.71,5.57,2.0,TBD
2026,Miami OH,11,D,0.06,3.57,3.71,6.29,TBD
2026,Rice,11,D,0.14,3.43,1.71,5.57,TBD
2026,McNeese St.,14,F,0.12,3.29,1.0,8.14,TBD
2026,San Diego St.,12,D,0.1,3.14,2.86,3.29,TBD
2026,Georgia Southern,13,F,0.05,3.0,3.57,4.86,TBD
2026,Quinnipiac,12,D,0.11,2.86,3.43,4.71,TBD
2026,Green Bay,13,F,0.05,2.71,1.57,5.0,TBD
2026,Murray St.,13,F,0.04,2.57,4.29,1.0,TBD
2026,Idaho,14,F,0.07,2.43,3.29,1.57,TBD
2026,Charleston,14,F,0.02,2.29,2.43,2.43,TBD
2026,Vermont,14,F,0.05,2.14,2.0,1.86,TBD
2026,Western Illinois,15,F,0.01,2.0,2.57,1.14,TBD
2026,Navy,15,F,0.02,1.86,2.14,3.14,TBD
2026,High Point,15,F,0.0,1.71,2.71,2.86,TBD
2026,UC San Diego,16,F,0.0,1.57,1.29,6.0,TBD
2026,Fairleigh Dickinson,16,F,0.01,1.43,3.14,3.71,TBD
2026,Cal Baptist,15,F,0.0,1.29,1.86,1.71,TBD
2026,Chattanooga,16,F,0.0,1.14,1.43,4.57,TBD
2026,Howard,16,F,0.0,1.0,1.14,2.29,TBD
