round,team_region,team_seed,opp_region,opp_seed
Sweet 16,Region 4,1,Region 4,12
Sweet 16,Region 4,16,Region 4,4
Sweet 16,Region 4,16,Region 4,13
Sweet 16,Region 4,16,Region 4,5
Sweet 16,Region 4,16,Region 4,12
Sweet 16,Region 4,8,Region 4,4
Sweet 16,Region 4,8,Region 4,13
Sweet 16,Region 4,8,Region 4,5
Sweet 16,Region 4,8,Region 4,12
Sweet 16,Region 4,9,Region 4,4
Sweet 16,Region 4,9,Region 4,13
Sweet 16,Region 4,9,Region 4,5
Sweet 16,Region 4,9,Region 4,12
Sweet 16,Region 4,2,Region 4,3
Sweet 16,Region 4,2,Region 4,14
Sweet 16,Region 4,2,Region 4,6
Sweet 16,Region 4,2,Region 4,11
Sweet 16,Region 4,15,Region 4,3
Sweet 16,Region 4,15,Region 4,14
Sweet 16,Region 4,15,Region 4,6
Sweet 16,Region 4,15,Region 4,11
Sweet 16,Region 4,7,Region 4,3
Sweet 16,Region 4,7,Region 4,14
Sweet 16,Region 4,7,Region 4,6
Sweet 16,Region 4,7,Region 4,11
Sweet 16,Region 4,10,Region 4,3
Sweet 16,Region 4,10,Region 4,14
Sweet 16,Region 4,10,Region 4,6
Sweet 16,Region 4,10,Region 4,11
Sweet 16,Region 1,4,Region 1,1
Sweet 16,Region 1,13,Region 1,1
Sweet 16,Region 1,5,Region 1,1
Sweet 16,Region 1,12,Region 1,1
Sweet 16,Region 1,4,Region 1,16
Sweet 16,Region 1,13,Region 1,16
Sweet 16,Region 1,5,Region 1,16
Sweet 16,Region 1,12,Region 1,16
Sweet 16,Region 1,4,Region 1,8
Sweet 16,Region 1,13,Region 1,8
Sweet 16,Region 1,5,Region 1,8
Sweet 16,Region 1,12,Region 1,8
Sweet 16,Region 1,4,Region 1,9
Sweet 16,Region 1,13,Region 1,9
Sweet 16,Region 1,5,Region 1,9
Sweet 16,Region 1,12,Region 1,9
Sweet 16,Region 1,3,Region 1,2
Sweet 16,Region 1,14,Region 1,2
Sweet 16,Region 1,6,Region 1,2
Sweet 16,Region 1,11,Region 1,2
Sweet 16,Region 1,3,Region 1,15
Sweet 16,Region 1,14,Region 1,15
Sweet 16,Region 1,6,Region 1,15
Sweet 16,Region 1,11,Region 1,15
Sweet 16,Region 1,3,Region 1,7
Sweet 16,Region 1,14,Region 1,7
Sweet 16,Region 1,6,Region 1,7
Sweet 16,Region 1,11,Region 1,7
Sweet 16,Region 1,3,Region 1,10
Sweet 16,Region 1,14,Region 1,10
Sweet 16,Region 1,6,Region 1,10
Sweet 16,Region 1,11,Region 1,10
Sweet 16,Region 2,4,Region 2,1
Sweet 16,Region 2,13,Region 2,1
Sweet 16,Region 2,5,Region 2,1
Sweet 16,Region 2,12,Region 2,1
Sweet 16,Region 2,4,Region 2,16
Sweet 16,Region 2,13,Region 2,16
Sweet 16,Region 2,5,Region 2,16
Sweet 16,Region 2,12,Region 2,16
Sweet 16,Region 2,4,Region 2,8
Sweet 16,Region 2,13,Region 2,8
Sweet 16,Region 2,5,Region 2,8
Sweet 16,Region 2,12,Region 2,8
Sweet 16,Region 2,4,Region 2,9
Sweet 16,Region 2,13,Region 2,9
Sweet 16,Region 2,5,Region 2,9
Sweet 16,Region 2,12,Region 2,9
Sweet 16,Region 2,3,Region 2,2
Sweet 16,Region 2,14,Region 2,2
Sweet 16,Region 2,6,Region 2,2
Sweet 16,Region 2,11,Region 2,2
Sweet 16,Region 2,3,Region 2,15
Sweet 16,Region 2,14,Region 2,15
Sweet 16,Region 2,6,Region 2,15
Sweet 16,Region 2,11,Region 2,15
Sweet 16,Region 2,3,Region 2,7
Sweet 16,Region 2,14,Region 2,7
Sweet 16,Region 2,6,Region 2,7
Sweet 16,Region 2,11,Region 2,7
Sweet 16,Region 2,3,Region 2,10
Sweet 16,Region 2,14,Region 2,10
Sweet 16,Region 2,6,Region 2,10
Sweet 16,Region 2,11,Region 2,10
Sweet 16,Region 3,4,Region 3,1
Sweet 16,Region 3,13,Region 3,1
Sweet 16,Region 3,5,Region 3,1
Sweet 16,Region 3,12,Region 3,1
Sweet 16,Region 3,4,Region 3,16
Sweet 16,Region 3,13,Region 3,16
Sweet 16,Region 3,5,Region 3,16
Sweet 16,Region 3,12,Region 3,16
Sweet 16,Region 3,4,Region 3,8
Sweet 16,Region 3,13,Region 3,8
Sweet 16,Region 3,5,Region 3,8
Sweet 16,Region 3,12,Region 3,8
Sweet 16,Region 3,4,Region 3,9
Sweet 16,Region 3,13,Region 3,9
Sweet 16,Region 3,5,Region 3,9
Sweet 16,Region 3,12,Region 3,9
Sweet 16,Region 3,3,Region 3,2
Sweet 16,Region 3,14,Region 3,2
Sweet 16,Region 3,6,Region 3,2
Sweet 16,Region 3,11,Region 3,2
Sweet 16,Region 3,3,Region 3,15
Sweet 16,Region 3,14,Region 3,15
Sweet 16,Region 3,6,Region 3,15
Sweet 16,Region 3,11,Region 3,15
Sweet 16,Region 3,3,Region 3,7
Sweet 16,Region 3,14,Region 3,7
Sweet 16,Region 3,6,Region 3,7
Sweet 16,Region 3,11,Region 3,7
Sweet 16,Region 3,3,Region 3,10
Sweet 16,Region 3,14,Region 3,10
Sweet 16,Region 3,6,Region 3,10
Sweet 16,Region 3,11,Region 3,10
Sweet 16,Region 4,4,Region 4,1
Sweet 16,Region 4,13,Region 4,1
Sweet 16,Region 4,5,Region 4,1
Sweet 16,Region 4,12,Region 4,1
Sweet 16,Region 4,4,Region 4,16
Sweet 16,Region 4,13,Region 4,16
Sweet 16,Region 4,5,Region 4,16
Sweet 16,Region 4,12,Region 4,16
Sweet 16,Region 4,4,Region 4,8
Sweet 16,Region 4,13,Region 4,8
Sweet 16,Region 4,5,Region 4,8
Sweet 16,Region 4,12,Region 4,8
Sweet 16,Region 4,4,Region 4,9
Sweet 16,Region 4,13,Region 4,9
Sweet 16,Region 4,5,Region 4,9
Sweet 16,Region 4,12,Region 4,9
Sweet 16,Region 4,3,Region 4,2
Sweet 16,Region 4,14,Region 4,2
Sweet 16,Region 4,6,Region 4,2
Sweet 16,Region 4,11,Region 4,2
Sweet 16,Region 4,3,Region 4,15
Sweet 16,Region 4,14,Region 4,15
Sweet 16,Region 4,6,Region 4,15
Sweet 16,Region 4,11,Region 4,15
Sweet 16,Region 4,3,Region 4,7
Sweet 16,Region 4,14,Region 4,7
Sweet 16,Region 4,6,Region 4,7
Sweet 16,Region 4,11,Region 4,7
Sweet 16,Region 4,3,Region 4,10
Sweet 16,Region 4,14,Region 4,10
Sweet 16,Region 4,6,Region 4,10
Sweet 16,Region 4,11,Region 4,10
Elite Eight,Region 1,1,Region 1,2
Elite Eight,Region 1,1,Region 1,15
Elite Eight,Region 1,1,Region 1,7
Elite Eight,Region 1,1,Region 1,10
Elite Eight,Region 1,1,Region 1,3
Elite Eight,Region 1,1,Region 1,14
Elite Eight,Region 1,1,Region 1,6
Elite Eight,Region 1,1,Region 1,11
Elite Eight,Region 1,16,Region 1,2
Elite Eight,Region 1,16,Region 1,15
Elite Eight,Region 1,16,Region 1,7
Elite Eight,Region 1,16,Region 1,10
Elite Eight,Region 1,16,Region 1,3
Elite Eight,Region 1,16,Region 1,14
Elite Eight,Region 1,16,Region 1,6
Elite Eight,Region 1,16,Region 1,11
Elite Eight,Region 1,8,Region 1,2
Elite Eight,Region 1,8,Region 1,15
Elite Eight,Region 1,8,Region 1,7
Elite Eight,Region 1,8,Region 1,10
Elite Eight,Region 1,8,Region 1,3
Elite Eight,Region 1,8,Region 1,14
Elite Eight,Region 1,8,Region 1,6
Elite Eight,Region 1,8,Region 1,11
Elite Eight,Region 1,9,Region 1,2
Elite Eight,Region 1,9,Region 1,15
Elite Eight,Region 1,9,Region 1,7
Elite Eight,Region 1,9,Region 1,10
Elite Eight,Region 1,9,Region 1,3
Elite Eight,Region 1,9,Region 1,14
Elite Eight,Region 1,9,Region 1,6
Elite Eight,Region 1,9,Region 1,11
Elite Eight,Region 1,4,Region 1,2
Elite Eight,Region 1,4,Region 1,15
Elite Eight,Region 1,4,Region 1,7
Elite Eight,Region 1,4,Region 1,10
Elite Eight,Region 1,4,Region 1,3
Elite Eight,Region 1,4,Region 1,14
Elite Eight,Region 1,4,Region 1,6
Elite Eight,Region 1,4,Region 1,11
Elite Eight,Region 1,13,Region 1,2
Elite Eight,Region 1,13,Region 1,15
Elite Eight,Region 1,13,Region 1,7
Elite Eight,Region 1,13,Region 1,10
Elite Eight,Region 1,13,Region 1,3
Elite Eight,Region 1,13,Region 1,14
Elite Eight,Region 1,13,Region 1,6
Elite Eight,Region 1,13,Region 1,11
Elite Eight,Region 1,5,Region 1,2
Elite Eight,Region 1,5,Region 1,15
Elite Eight,Region 1,5,Region 1,7
Elite Eight,Region 1,5,Region 1,10
Elite Eight,Region 1,5,Region 1,3
Elite Eight,Region 1,5,Region 1,14
Elite Eight,Region 1,5,Region 1,6
Elite Eight,Region 1,5,Region 1,11
Elite Eight,Region 1,12,Region 1,2
Elite Eight,Region 1,12,Region 1,15
Elite Eight,Region 1,12,Region 1,7
Elite Eight,Region 1,12,Region 1,10
Elite Eight,Region 1,12,Region 1,3
Elite Eight,Region 1,12,Region 1,14
Elite Eight,Region 1,12,Region 1,6
Elite Eight,Region 1,12,Region 1,11
Elite Eight,Region 2,1,Region 2,2
Elite Eight,Region 2,1,Region 2,15
Elite Eight,Region 2,1,Region 2,7
Elite Eight,Region 2,1,Region 2,10
Elite Eight,Region 2,1,Region 2,3
Elite Eight,Region 2,1,Region 2,14
Elite Eight,Region 2,1,Region 2,6
Elite Eight,Region 2,1,Region 2,11
Elite Eight,Region 2,16,Region 2,2
Elite Eight,Region 2,16,Region 2,15
Elite Eight,Region 2,16,Region 2,7
Elite Eight,Region 2,16,Region 2,10
Elite Eight,Region 2,16,Region 2,3
Elite Eight,Region 2,16,Region 2,14
Elite Eight,Region 2,16,Region 2,6
Elite Eight,Region 2,16,Region 2,11
Elite Eight,Region 2,8,Region 2,2
Elite Eight,Region 2,8,Region 2,15
Elite Eight,Region 2,8,Region 2,7
Elite Eight,Region 2,8,Region 2,10
Elite Eight,Region 2,8,Region 2,3
Elite Eight,Region 2,8,Region 2,14
Elite Eight,Region 2,8,Region 2,6
Elite Eight,Region 2,8,Region 2,11
Elite Eight,Region 2,9,Region 2,2
Elite Eight,Region 2,9,Region 2,15
Elite Eight,Region 2,9,Region 2,7
Elite Eight,Region 2,9,Region 2,10
Elite Eight,Region 2,9,Region 2,3
Elite Eight,Region 2,9,Region 2,14
Elite Eight,Region 2,9,Region 2,6
Elite Eight,Region 2,9,Region 2,11
Elite Eight,Region 2,4,Region 2,2
Elite Eight,Region 2,4,Region 2,15
Elite Eight,Region 2,4,Region 2,7
