torvik_id,year,rank,team,conf,games,record,adj_oe,adj_de,barthag,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,2p_pct,2pd_pct,3p_pct,3pd_pct,3pr,3prd,adj_tempo,wab
2023 Duke,2023,9,Duke,ACC,31,25–6,100.1,69,0.9863,45.5,39,22.6,27.1,34.7,25.9,26.1,26.9,44.8,37.5,31.7,28.4,26.1,29.5,67.1,8.2
2023 Maryland,2023,15,Maryland,B10,31,25–6,113.5,81.4,0.9787,49.4,47.4,17.8,25.9,31.6,33.1,28.5,24.8,47.6,45.5,35.8,33.6,29.4,37.7,73.3,7.9
2023 Oklahoma,2023,27,Oklahoma,B12,31,25–6,117.4,88.5,0.9629,52,46.2,21.3,18.5,35.5,25.7,27.2,33,51,44.9,35.8,32.3,37.3,36.8,77,7
2023 Norfolk St.,2023,166,Norfolk St.,MEAC,31,25–6,80.6,81.1,0.4812,41.6,37.2,25.3,31.4,36.2,32.4,33.8,34.5,43.6,36.5,24.4,25.5,28.5,42.2,69.3,-4.5
2024 UCLA,2024,4,UCLA,P12,31,25–6,117.1,75.7,0.9934,50.4,41.8,20.9,21.2,41.6,22.9,26,30.7,50.9,38.4,32.8,32.5,33,32.7,70.5,9.6
2025 UTSA,2025,78,UTSA,Amer,31,26-5,98.4,85.4,0.8362,44.5,42.5,24.2,25,43.2,30.4,28.3,27.2,45.1,40.2,28.6,31.3,30.1,33.1,66.4,-0.5
2022 South Dakota,2022,32,South Dakota,Sum,31,26–5,103.2,79.6,0.9517,49.2,42.1,16.2,27.4,29.7,27.7,24.2,26.3,49.2,41.5,32.8,28.7,31.9,37.3,66,2
2022 Toledo,2022,78,Toledo,MAC,31,26–5,101.4,88.7,0.8239,49,41.6,18.5,18.7,32.2,25.1,29.5,28,50,40.6,31.4,29.2,35.6,31.2,67.7,-0.49
2022 Drexel,2022,96,Drexel,CAA,31,26–5,98.9,90.4,0.7362,47,41.3,17.2,23.3,33.9,33.4,21,23.3,47.5,41.5,30.6,27.3,27.8,34,63.4,-2.1
2024 USC,2024,10,USC,P12,31,26–5,115.1,78.9,0.9872,48.6,43.5,17.3,22.2,32.9,27.8,30.2,26.5,46.2,42.4,35.6,30.7,34.1,30.6,69.9,10.2
2024 Saint Joseph's,2024,59,Saint Joseph's,A10,31,26–5,102,83.6,0.9073,49.9,42.8,20,22.3,30.4,28.6,23.9,17.4,49.3,41.8,34,30.1,31.9,29.7,65.5,-0.6
2024 Norfolk St.,2024,137,Norfolk St.,MEAC,31,26–5,92.2,89,0.5983,45,41.4,20.2,30.8,35.3,29.8,26.8,32.7,43.7,40,32.1,29,29,39.2,67.5,-3.3
2023 Virginia Tech,2023,6,Virginia Tech,ACC,31,27–4,118.3,80.9,0.9876,51.9,41.9,19.7,20.6,32,24.5,29.6,23.6,51.7,41.4,34.9,28.8,38.6,26.8,67.2,9.7
2024 Florida Gulf Coast,2024,54,Florida Gulf Coast,ASun,31,27–4,105.1,85.5,0.9156,51.8,45.2,20,26.9,34.1,25.5,32.7,28.7,57.3,44.7,30.8,31,50.3,27.7,67,0.2
2024 Stony Brook,2024,87,Stony Brook,CAA,31,27–4,96.3,85.4,0.8009,49.4,38.5,22.5,23.1,33.8,27.6,28.6,20.7,49.4,39,32.9,24.8,35.4,32.6,73.8,-2.3
2022 Stanford,2022,3,Stanford,P12,31,28–3,116.4,75.5,0.9931,50.8,39.9,18.9,22.5,37.8,28,26.5,26.2,49.6,36.1,35.4,32.8,33.1,29.4,69.7,14.2
2024 Cal Baptist,2024,129,Cal Baptist,WAC,31,28–3,97.4,92.9,0.635,49.5,44.1,18,21.2,26.1,26.8,30.7,27.1,49.8,44.5,32.8,29.1,45.3,43.3,77.2,-1.5
2022 South Carolina,2022,1,South Carolina,SEC,31,29–2,114.1,68.1,0.9974,47.3,36.1,21.5,19.4,45.4,25.2,31.6,20.5,47.3,34.8,31.6,27,24.5,23.3,67.5,15.4
