team_id,year,team,region,seed,finish,weekend,torvik_id
2021 Virginia Tech,2021,Virginia Tech,East,7,Second Round,1,2021 Virginia Tech
2021 Syracuse,2021,Syracuse,East,8,Second Round,1,2021 Syracuse
2021 UCLA,2021,UCLA,South,3,Second Round,1,2021 UCLA
2021 West Virginia,2021,West Virginia,South,4,Second Round,1,2021 West Virginia
2021 Alabama,2021,Alabama,South,7,Second Round,1,2021 Alabama
2021 Oregon St.,2021,Oregon St.,South,8,Second Round,1,2021 Oregon St.
2021 Iowa St.,2021,Iowa St.,Midwest,7,Second Round,1,2021 Iowa St.
2021 South Florida,2021,South Florida,Midwest,8,Second Round,1,2021 South Florida
2021 BYU,2021,BYU,Midwest,11,Second Round,1,2021 BYU
2021 Belmont,2021,Belmont,Midwest,12,Second Round,1,2021 Belmont
2021 Georgia,2021,Georgia,West,3,Second Round,1,2021 Georgia
2021 Northwestern,2021,Northwestern,West,7,Second Round,1,2021 Northwestern
2021 Oklahoma St.,2021,Oklahoma St.,West,8,Second Round,1,2021 Oklahoma St.
2021 Wright St.,2021,Wright St.,West,13,Second Round,1,2021 Wright St.
2022 Oklahoma,2022,Oklahoma,East,4,Second Round,1,2022 Oklahoma
2022 UCF,2022,UCF,East,7,Second Round,1,2022 UCF
2022 Kansas St.,2022,Kansas St.,East,9,Second Round,1,2022 Kansas St.
2022 Princeton,2022,Princeton,East,11,Second Round,1,2022 Princeton
2022 Iowa,2022,Iowa,South,2,Second Round,1,2022 Iowa
2022 Arizona,2022,Arizona,South,4,Second Round,1,2022 Arizona
2022 Georgia,2022,Georgia,South,6,Second Round,1,2022 Georgia
2022 Miami FL,2022,Miami FL,South,8,Second Round,1,2022 Miami FL
2022 Baylor,2022,Baylor,Midwest,2,Second Round,1,2022 Baylor
2022 Gonzaga,2022,Gonzaga,Midwest,9,Second Round,1,2022 Gonzaga
2022 Villanova,2022,Villanova,Midwest,11,Second Round,1,2022 Villanova
2022 Belmont,2022,Belmont,Midwest,12,Second Round,1,2022 Belmont
2022 LSU,2022,LSU,West,3,Second Round,1,2022 LSU
2022 Utah,2022,Utah,West,7,Second Round,1,2022 Utah
2022 Kansas,2022,Kansas,West,8,Second Round,1,2022 Kansas
2022 Florida Gulf Coast,2022,Florida Gulf Coast,West,12,Second Round,1,2022 Florida Gulf Coast
2023 Oklahoma,2023,Oklahoma,East,5,Second Round,1,2023 Oklahoma
2023 Arizona,2023,Arizona,East,7,Second Round,1,2023 Arizona
2023 South Florida,2023,South Florida,East,8,Second Round,1,2023 South Florida
2023 Illinois,2023,Illinois,East,11,Second Round,1,2023 Illinois
2023 North Carolina,2023,North Carolina,South,6,Second Round,1,2023 North Carolina
2023 Baylor,2023,Baylor,South,7,Second Round,1,2023 Baylor
2023 South Dakota St.,2023,South Dakota St.,South,9,Second Round,1,2023 South Dakota St.
2023 Toledo,2023,Toledo,South,12,Second Round,1,2023 Toledo
2023 Indiana,2023,Indiana,Midwest,1,Second Round,1,2023 Indiana
2023 Michigan,2023,Michigan,Midwest,6,Second Round,1,2023 Michigan
2023 Princeton,2023,Princeton,Midwest,10,Second Round,1,2023 Princeton
2023 Florida Gulf Coast,2023,Florida Gulf Coast,Midwest,12,Second Round,1,2023 Florida Gulf Coast
2023 Stanford,2023,Stanford,West,1,Second Round,1,2023 Stanford
2023 Duke,2023,Duke,West,3,Second Round,1,2023 Duke
2023 Texas,2023,Texas,West,4,Second Round,1,2023 Texas
2023 Georgia,2023,Georgia,West,10,Second Round,1,2023 Georgia
2024 Oklahoma,2024,Oklahoma,East,5,Second Round,1,2024 Oklahoma
2024 Nebraska,2024,Nebraska,East,6,Second Round,1,2024 Nebraska
2024 Mississippi,2024,Mississippi,East,7,Second Round,1,2024 Mississippi
2024 North Carolina,2024,North Carolina,East,8,Second Round,1,2024 North Carolina
2024 Utah,2024,Utah,South,5,Second Round,1,2024 Utah
2024 Tennessee,2024,Tennessee,South,6,Second Round,1,2024 Tennessee
2024 Iowa St.,2024,Iowa St.,South,7,Second Round,1,2024 Iowa St.
2024 Alabama,2024,Alabama,South,8,Second Round,1,2024 Alabama
2024 Kansas St.,2024,Kansas St.,Midwest,4,Second Round,1,2024 Kansas St.
2024 Creighton,2024,Creighton,Midwest,7,Second Round,1,2024 Creighton
2024 West Virginia,2024,West Virginia,Midwest,8,Second Round,1,2024 West Virginia
2024 Middle Tennessee,2024,Middle Tennessee,Midwest,11,Second Round,1,2024 Middle Tennessee
2024 Ohio St.,2024,Ohio St.,West,2,Second Round,1,2024 Ohio St.
2024 Virginia Tech,2024,Virginia Tech,West,4,Second Round,1,2024 Virginia Tech
2024 Syracuse,2024,Syracuse,West,6,Second Round,1,2024 Syracuse
2024 Kansas,2024,Kansas,West,8,Second Round,1,2024 Kansas
2025 Baylor,2025,Baylor,East,4,Second Round,1,2025 Baylor
2025 Florida St.,2025,Florida St.,East,6,Second Round,1,2025 Florida St.
