year,game_id,round,team_region,team_seed,team,opp_region,opp_seed,opponent,win_prob_raw,win_prob
2021,r2_r4_g01,Round 2,Region 4,1,South Carolina,Region 4,9,Florida St.,0.957315052025119,0.9468291306014097
2021,r2_r4_g01,Round 2,Region 4,16,Mercer,Region 4,8,Oregon St.,0.03849621550470123,0.03795581939699092
2021,r2_r4_g01,Round 2,Region 4,16,Mercer,Region 4,9,Florida St.,0.10369383265321057,0.1013922576511774
2021,r2_r4_g02,Round 2,Region 4,2,Maryland,Region 4,7,Alabama,0.9685732707098927,0.9253351170245011
2021,r2_r4_g02,Round 2,Region 4,2,Maryland,Region 4,10,North Carolina,0.9721577948159009,0.9451184580347898
2021,r2_r4_g02,Round 2,Region 4,15,Mount St. Mary's,Region 4,7,Alabama,0.06316305818890224,0.0614649651062522
2021,r2_r4_g02,Round 2,Region 4,15,Mount St. Mary's,Region 4,10,North Carolina,0.07096300343592088,0.06948010693794003
2021,r2_r4_g03,Round 2,Region 4,3,UCLA,Region 4,6,Texas,0.8554362161333853,0.8184842327362726
2021,r2_r4_g03,Round 2,Region 4,3,UCLA,Region 4,11,Bradley,0.9810181474855273,0.9716210339580202
2021,r2_r4_g03,Round 2,Region 4,14,Wyoming,Region 4,6,Texas,0.06180285229476193,0.06120552675094265
2021,r2_r4_g03,Round 2,Region 4,14,Wyoming,Region 4,11,Bradley,0.3652164844848758,0.3439851959344163
2021,r2_r4_g04,Round 2,Region 4,4,West Virginia,Region 4,5,Georgia Tech,0.6516124689312409,0.5911398041523956
2021,r2_r4_g04,Round 2,Region 4,4,West Virginia,Region 4,12,Stephen F. Austin,0.7577113712436678,0.6973919530304736
2021,r2_r4_g04,Round 2,Region 4,13,Lehigh,Region 4,5,Georgia Tech,0.05820578946144459,0.0571783706746215
2021,r2_r4_g04,Round 2,Region 4,13,Lehigh,Region 4,12,Stephen F. Austin,0.0936582704470283,0.09110337775753226
2021,r2_r1_g01,Round 2,Region 1,8,Oklahoma St.,Region 1,1,Stanford,0.03231312817136267,0.032051617355296894
2021,r2_r1_g01,Round 2,Region 1,9,Wake Forest,Region 1,1,Stanford,0.013633078997321857,0.013562948921923619
2021,r2_r1_g01,Round 2,Region 1,8,Oklahoma St.,Region 1,16,Utah Valley,0.9767806303358793,0.9732498662268032
2021,r2_r1_g01,Round 2,Region 1,9,Wake Forest,Region 1,16,Utah Valley,0.9456886893120687,0.9273537040890134
2021,r2_r1_g02,Round 2,Region 1,7,Northwestern,Region 1,2,Louisville,0.27407157153403927,0.25562097735960077
2021,r2_r1_g02,Round 2,Region 1,10,UCF,Region 1,2,Louisville,0.13344078012836763,0.13052060171687824
2021,r2_r1_g02,Round 2,Region 1,7,Northwestern,Region 1,15,Marist,0.9317570003865047,0.9257611834537774
2021,r2_r1_g02,Round 2,Region 1,10,UCF,Region 1,15,Marist,0.8477661067979327,0.8578147909752338
2021,r2_r1_g03,Round 2,Region 1,6,Oregon,Region 1,3,Georgia,0.7599347809440441,0.7143171007021241
2021,r2_r1_g03,Round 2,Region 1,11,South Dakota,Region 1,3,Georgia,0.3999958615439647,0.37900568965819814
2021,r2_r1_g03,Round 2,Region 1,6,Oregon,Region 1,14,Drexel,0.9906271532571307,0.9857304769610717
2021,r2_r1_g03,Round 2,Region 1,11,South Dakota,Region 1,14,Drexel,0.9570046809281741,0.9413793321932318
