game_id,side,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win
20231304b,b,1304,2023,Region 2,First Round,13,2023 Kent St.,4,2023 Indiana,60,71,-11,131,0
20231305b,b,1305,2023,Region 2,First Round,11,2023 Pittsburgh,6,2023 Iowa St.,59,41,18,100,1
20231306b,b,1306,2023,Region 2,First Round,14,2023 Kennesaw St.,3,2023 Xavier,67,72,-5,139,0
20231307b,b,1307,2023,Region 2,First Round,10,2023 Penn St.,7,2023 Texas A&M,76,59,17,135,1
20231308b,b,1308,2023,Region 2,First Round,15,2023 Colgate,2,2023 Texas,61,81,-20,142,0
20231401b,b,1401,2023,Region 3,First Round,16,2023 Howard,1,2023 Kansas,68,96,-28,164,0
20231402b,b,1402,2023,Region 3,First Round,9,2023 Illinois,8,2023 Arkansas,63,73,-10,136,0
20231403b,b,1403,2023,Region 3,First Round,12,2023 VCU,5,2023 Saint Mary's,51,63,-12,114,0
20231404b,b,1404,2023,Region 3,First Round,13,2023 Iona,4,2023 Connecticut,63,87,-24,150,0
20231405b,b,1405,2023,Region 3,First Round,11,2023 Arizona St.,6,2023 TCU,70,72,-2,142,0
20231406b,b,1406,2023,Region 3,First Round,14,2023 Grand Canyon,3,2023 Gonzaga,70,82,-12,152,0
20231407b,b,1407,2023,Region 3,First Round,10,2023 Boise St.,7,2023 Northwestern,67,75,-8,142,0
20231408b,b,1408,2023,Region 3,First Round,15,2023 UNC Asheville,2,2023 UCLA,53,86,-33,139,0
20232109b,b,2109,2023,Region 1,Second Round,8,2023 Maryland,1,2023 Alabama,51,73,-22,124,0
20232110b,b,2110,2023,Region 1,Second Round,13,2023 Furman,5,2023 San Diego St.,52,75,-23,127,0
20232111b,b,2111,2023,Region 1,Second Round,3,2023 Baylor,6,2023 Creighton,76,85,-9,161,0
20232112b,b,2112,2023,Region 1,Second Round,15,2023 Princeton,7,2023 Missouri,78,63,15,141,1
20232209b,b,2209,2023,Region 4,Second Round,9,2023 Florida Atlantic,16,2023 Fairleigh Dickinson,78,70,8,148,1
20232210b,b,2210,2023,Region 4,Second Round,4,2023 Tennessee,5,2023 Duke,65,52,13,117,1
20232211b,b,2211,2023,Region 4,Second Round,3,2023 Kansas St.,6,2023 Kentucky,75,69,6,144,1
20232212b,b,2212,2023,Region 4,Second Round,2,2023 Marquette,7,2023 Michigan St.,60,69,-9,129,0
20232309b,b,2309,2023,Region 2,Second Round,9,2023 Auburn,1,2023 Houston,64,81,-17,145,0
20232310b,b,2310,2023,Region 2,Second Round,4,2023 Indiana,5,2023 Miami FL,69,85,-16,154,0
20232311b,b,2311,2023,Region 2,Second Round,3,2023 Xavier,11,2023 Pittsburgh,84,73,11,157,1
20232312b,b,2312,2023,Region 2,Second Round,2,2023 Texas,10,2023 Penn St.,71,66,5,137,1
20232409b,b,2409,2023,Region 3,Second Round,8,2023 Arkansas,1,2023 Kansas,72,71,1,143,1
20232410b,b,2410,2023,Region 3,Second Round,4,2023 Connecticut,5,2023 Saint Mary's,70,55,15,125,1
20232411b,b,2411,2023,Region 3,Second Round,3,2023 Gonzaga,6,2023 TCU,84,81,3,165,1
20232412b,b,2412,2023,Region 3,Second Round,2,2023 UCLA,7,2023 Northwestern,68,63,5,131,1
20233113b,b,3113,2023,Region 1,Sweet 16,5,2023 San Diego St.,1,2023 Alabama,71,64,7,135,1
20233113b,b,3113,2023,Region 1,Sweet 16,15,2023 Princeton,6,2023 Creighton,75,86,-11,161,0
20233213b,b,3213,2023,Region 4,Sweet 16,4,2023 Tennessee,9,2023 Florida Atlantic,55,62,-7,117,0
20233214b,b,3214,2023,Region 4,Sweet 16,7,2023 Michigan St.,3,2023 Kansas St.,93,98,-5,191,0
20233313b,b,3313,2023,Region 2,Sweet 16,5,2023 Miami FL,1,2023 Houston,89,75,14,164,1
20233314b,b,3314,2023,Region 2,Sweet 16,2,2023 Texas,3,2023 Xavier,83,71,12,154,1
20233413b,b,3413,2023,Region 3,Sweet 16,4,2023 Connecticut,8,2023 Arkansas,88,65,23,153,1
20233414b,b,3414,2023,Region 3,Sweet 16,2,2023 UCLA,3,2023 Gonzaga,76,79,-3,155,0
20234115b,b,4115,2023,Region 1,Elite Eight,6,2023 Creighton,5,2023 San Diego St.,56,57,-1,113,0
20234215b,b,4215,2023,Region 4,Elite Eight,3,2023 Kansas St.,9,2023 Florida Atlantic,76,79,-3,155,0
20234315b,b,4315,2023,Region 2,Elite Eight,2,2023 Texas,5,2023 Miami FL,81,88,-7,169,0
20234415b,b,4415,2023,Region 3,Elite Eight,3,2023 Gonzaga,4,2023 Connecticut,54,82,-28,136,0
20235516b,b,5516,2023,Final Four,Final Four,9,2023 Florida Atlantic,5,2023 San Diego St.,71,72,-1,143,0
20235517b,b,5517,2023,Final Four,Final Four,4,2023 Connecticut,5,2023 Miami FL,72,59,13,131,1
20235618b,b,5618,2023,Final Four,Championship,4,2023 Connecticut,5,2023 San Diego St.,76,59,17,135,1
20241101b,b,1101,2024,Region 1,First Round,16,2024 Stetson,1,2024 Connecticut,52,91,-39,143,0
20241102b,b,1102,2024,Region 1,First Round,9,2024 Northwestern,8,2024 Florida Atlantic,77,65,12,142,1
20241103b,b,1103,2024,Region 1,First Round,12,2024 UAB,5,2024 San Diego St.,65,69,-4,134,0
20241104b,b,1104,2024,Region 1,First Round,13,2024 Yale,4,2024 Auburn,78,76,2,154,1
20241105b,b,1105,2024,Region 1,First Round,11,2024 Duquesne,6,2024 BYU,71,67,4,138,1
20241106b,b,1106,2024,Region 1,First Round,14,2024 Morehead St.,3,2024 Illinois,69,85,-16,154,0
20241107b,b,1107,2024,Region 1,First Round,10,2024 Drake,7,2024 Washington St.,61,66,-5,127,0
20241108b,b,1108,2024,Region 1,First Round,15,2024 South Dakota St.,2,2024 Iowa St.,65,82,-17,147,0
20241201b,b,1201,2024,Region 2,First Round,16,2024 Longwood,1,2024 Houston,46,86,-40,132,0
20241202b,b,1202,2024,Region 2,First Round,9,2024 Texas A&M,8,2024 Nebraska,98,83,15,181,1
20241203b,b,1203,2024,Region 2,First Round,12,2024 James Madison,5,2024 Wisconsin,72,61,11,133,1
20241204b,b,1204,2024,Region 2,First Round,13,2024 Vermont,4,2024 Duke,47,64,-17,111,0
20241205b,b,1205,2024,Region 2,First Round,11,2024 NC St.,6,2024 Texas Tech,80,67,13,147,1
20241206b,b,1206,2024,Region 2,First Round,14,2024 Oakland,3,2024 Kentucky,80,76,4,156,1
20241207b,b,1207,2024,Region 2,First Round,10,2024 Colorado,7,2024 Florida,102,100,2,202,1
20241208b,b,1208,2024,Region 2,First Round,15,2024 Western Kentucky,2,2024 Marquette,69,87,-18,156,0
20241301b,b,1301,2024,Region 3,First Round,16,2024 Grambling St.,1,2024 Purdue,50,78,-28,128,0
20241302b,b,1302,2024,Region 3,First Round,9,2024 TCU,8,2024 Utah St.,72,88,-16,160,0
