team_id,3man_prpg!,3man_dprpg,3man_bpm,3man_obpm,3man_dbpm
2019 Cincinnati,10.4,10.7,18.2,12.2,6
2019 Colgate,7.7,7,4.2,5.9,-1.6
2019 Duke,13.5,12.6,33.5,20.1,13.2
2019 Fairleigh Dickinson,8.3,6.1,2,5.1,-3.1
2019 Florida,7.5,11,18.9,7.8,11.2
2019 Florida St.,7.7,10.3,18.5,8.4,10
2019 Gardner Webb,7.6,6.9,5.8,7.8,-1.9
2019 Georgia St.,8,9.1,7.8,5.1,2.6
2019 Gonzaga,15.2,13.1,32.4,21.6,10.8
2019 Houston,10.7,12,20.8,14.4,6.4
2019 Iona,8.8,6.4,4.1,6.4,-2.3
2019 Iowa,9.9,8.3,12.7,11.8,0.9
2019 Iowa St.,12.6,10.6,18.5,14.1,4.5
2019 Kansas,9.7,10.3,18.3,10.8,7.6
2019 Kansas St.,7.9,14.5,18.3,6.9,11.3
2019 Kentucky,12,12.5,23.4,14.7,8.7
2019 Liberty,8.3,9.4,12.5,9.7,2.7
2019 Louisville,8.6,11.2,19.3,10.7,8.6
2019 LSU,10.6,10.1,21.5,12.9,8.5
2019 Marquette,11.8,10.7,18.6,11.9,6.6
2019 Maryland,11.6,11.8,18.9,11.6,7.2
2019 Michigan,10.9,14.2,24.2,11.4,12.8
2019 Michigan St.,12.9,12.2,29,17.7,11.2
2019 Minnesota,10.1,10.9,15.1,10.4,4.7
2019 Mississippi,10.7,11.2,16.7,11.8,4.9
2019 Mississippi St.,10.7,9.7,15.8,12,3.8
2019 Montana,9,8.7,8.3,7.6,0.7
2019 Murray St.,11,11.4,16.1,11.6,4.4
2019 Nevada,10,12.2,19.2,10.8,8.4
2019 New Mexico St.,7.7,7.8,15.2,10.7,4.5
2019 North Carolina,12.5,12.1,24.6,17.4,7.3
2019 North Carolina Central,4.5,6.7,0.1,2,-1.9
2019 North Dakota St.,7.4,5.7,1.8,5.5,-3.7
2019 Northeastern,9.9,8.9,12.9,11.1,1.9
2019 Northern Kentucky,9.3,9.1,14.9,12.6,2.3
2019 Ohio St.,6.5,9.3,14.9,7,8
2019 Oklahoma,8.9,12,16.9,10.3,6.6
2019 Old Dominion,7.2,11.9,7,3.4,3.7
2019 Oregon,8.1,11.3,12.9,7.5,5.3
2019 Prairie View A&M,4.9,7.3,0.7,1.6,-1
2019 Purdue,12.9,9.6,24,16.4,7.6
2019 Saint Louis,7.3,12.4,10.3,5.3,5.1
2019 Saint Mary's,13.1,10.6,20.3,14.5,5.9
2019 Seton Hall,9.7,10.4,14.2,10,4.3
2019 St. John's,10,10.7,13.8,9.2,4.5
2019 Syracuse,8.1,10.9,13.8,6.6,7.1
2019 Temple,8.9,9.9,12.7,8.9,3.7
2019 Tennessee,14.4,11.5,22.9,18.2,4.8
2019 Texas Tech,12.3,13.6,28.4,14.8,13.7
2019 UC Irvine,7.6,8.2,16,11.2,4.9
2019 UCF,10.1,11,17.6,12,5.5
2019 Utah St.,10.2,10.7,17.6,11.1,6.5
2019 VCU,7.2,11.6,19.7,9.1,10.6
2019 Vermont,10.2,9.8,17.7,13.9,3.8
2019 Villanova,11.8,10.7,14.3,12,2.3
2019 Virginia,15.9,14.1,30.4,21.6,8.7
2019 Virginia Tech,12.8,12.1,21.4,13.9,7.5
2019 Washington,8.3,12.6,16.8,6.5,10.2
2019 Wisconsin,8.2,12.1,21.9,8.1,13.8
2019 Wofford,12.7,9.1,23.1,18.7,4.4
2019 Yale,8.9,8.8,14.1,10.5,3.6
2020 Akron,12,10.5,15.4,13.2,2.1
2020 Arizona,10.7,12.3,16.8,10,6.8
2020 Arizona St.,8.2,10.8,11.1,7.3,3.6
2020 Auburn,10,10,16.8,11.3,5.5
