game_id,round,team_region,team_seed,opp_region,opp_seed
r3_r2_g01,Sweet 16,Region 2,12,Region 2,9
r3_r2_g02,Sweet 16,Region 2,3,Region 2,2
r3_r2_g02,Sweet 16,Region 2,14,Region 2,2
r3_r2_g02,Sweet 16,Region 2,6,Region 2,2
r3_r2_g02,Sweet 16,Region 2,11,Region 2,2
r3_r2_g02,Sweet 16,Region 2,3,Region 2,15
r3_r2_g02,Sweet 16,Region 2,14,Region 2,15
r3_r2_g02,Sweet 16,Region 2,6,Region 2,15
r3_r2_g02,Sweet 16,Region 2,11,Region 2,15
r3_r2_g02,Sweet 16,Region 2,3,Region 2,7
r3_r2_g02,Sweet 16,Region 2,14,Region 2,7
r3_r2_g02,Sweet 16,Region 2,6,Region 2,7
r3_r2_g02,Sweet 16,Region 2,11,Region 2,7
r3_r2_g02,Sweet 16,Region 2,3,Region 2,10
r3_r2_g02,Sweet 16,Region 2,14,Region 2,10
r3_r2_g02,Sweet 16,Region 2,6,Region 2,10
r3_r2_g02,Sweet 16,Region 2,11,Region 2,10
r3_r3_g01,Sweet 16,Region 3,4,Region 3,1
r3_r3_g01,Sweet 16,Region 3,13,Region 3,1
r3_r3_g01,Sweet 16,Region 3,5,Region 3,1
r3_r3_g01,Sweet 16,Region 3,12,Region 3,1
r3_r3_g01,Sweet 16,Region 3,4,Region 3,16
r3_r3_g01,Sweet 16,Region 3,13,Region 3,16
r3_r3_g01,Sweet 16,Region 3,5,Region 3,16
r3_r3_g01,Sweet 16,Region 3,12,Region 3,16
r3_r3_g01,Sweet 16,Region 3,4,Region 3,8
r3_r3_g01,Sweet 16,Region 3,13,Region 3,8
r3_r3_g01,Sweet 16,Region 3,5,Region 3,8
r3_r3_g01,Sweet 16,Region 3,12,Region 3,8
r3_r3_g01,Sweet 16,Region 3,4,Region 3,9
r3_r3_g01,Sweet 16,Region 3,13,Region 3,9
r3_r3_g01,Sweet 16,Region 3,5,Region 3,9
r3_r3_g01,Sweet 16,Region 3,12,Region 3,9
r3_r3_g02,Sweet 16,Region 3,3,Region 3,2
r3_r3_g02,Sweet 16,Region 3,14,Region 3,2
r3_r3_g02,Sweet 16,Region 3,6,Region 3,2
r3_r3_g02,Sweet 16,Region 3,11,Region 3,2
r3_r3_g02,Sweet 16,Region 3,3,Region 3,15
r3_r3_g02,Sweet 16,Region 3,14,Region 3,15
r3_r3_g02,Sweet 16,Region 3,6,Region 3,15
r3_r3_g02,Sweet 16,Region 3,11,Region 3,15
r3_r3_g02,Sweet 16,Region 3,3,Region 3,7
r3_r3_g02,Sweet 16,Region 3,14,Region 3,7
r3_r3_g02,Sweet 16,Region 3,6,Region 3,7
r3_r3_g02,Sweet 16,Region 3,11,Region 3,7
r3_r3_g02,Sweet 16,Region 3,3,Region 3,10
r3_r3_g02,Sweet 16,Region 3,14,Region 3,10
r3_r3_g02,Sweet 16,Region 3,6,Region 3,10
r3_r3_g02,Sweet 16,Region 3,11,Region 3,10
r3_r4_g01,Sweet 16,Region 4,4,Region 4,1
r3_r4_g01,Sweet 16,Region 4,13,Region 4,1
r3_r4_g01,Sweet 16,Region 4,5,Region 4,1
r3_r4_g01,Sweet 16,Region 4,12,Region 4,1
r3_r4_g01,Sweet 16,Region 4,4,Region 4,16
r3_r4_g01,Sweet 16,Region 4,13,Region 4,16
r3_r4_g01,Sweet 16,Region 4,5,Region 4,16
r3_r4_g01,Sweet 16,Region 4,12,Region 4,16
r3_r4_g01,Sweet 16,Region 4,4,Region 4,8
r3_r4_g01,Sweet 16,Region 4,13,Region 4,8
r3_r4_g01,Sweet 16,Region 4,5,Region 4,8
r3_r4_g01,Sweet 16,Region 4,12,Region 4,8
r3_r4_g01,Sweet 16,Region 4,4,Region 4,9
r3_r4_g01,Sweet 16,Region 4,13,Region 4,9
r3_r4_g01,Sweet 16,Region 4,5,Region 4,9
r3_r4_g01,Sweet 16,Region 4,12,Region 4,9
r3_r4_g02,Sweet 16,Region 4,3,Region 4,2
r3_r4_g02,Sweet 16,Region 4,14,Region 4,2
r3_r4_g02,Sweet 16,Region 4,6,Region 4,2
r3_r4_g02,Sweet 16,Region 4,11,Region 4,2
r3_r4_g02,Sweet 16,Region 4,3,Region 4,15
r3_r4_g02,Sweet 16,Region 4,14,Region 4,15
r3_r4_g02,Sweet 16,Region 4,6,Region 4,15
r3_r4_g02,Sweet 16,Region 4,11,Region 4,15
r3_r4_g02,Sweet 16,Region 4,3,Region 4,7
r3_r4_g02,Sweet 16,Region 4,14,Region 4,7
r3_r4_g02,Sweet 16,Region 4,6,Region 4,7
r3_r4_g02,Sweet 16,Region 4,11,Region 4,7
r3_r4_g02,Sweet 16,Region 4,3,Region 4,10
r3_r4_g02,Sweet 16,Region 4,14,Region 4,10
r3_r4_g02,Sweet 16,Region 4,6,Region 4,10
r3_r4_g02,Sweet 16,Region 4,11,Region 4,10
r4_r1_g01,Elite Eight,Region 1,1,Region 1,2
r4_r1_g01,Elite Eight,Region 1,1,Region 1,15
r4_r1_g01,Elite Eight,Region 1,1,Region 1,7
r4_r1_g01,Elite Eight,Region 1,1,Region 1,10
r4_r1_g01,Elite Eight,Region 1,1,Region 1,3
r4_r1_g01,Elite Eight,Region 1,1,Region 1,14
r4_r1_g01,Elite Eight,Region 1,1,Region 1,6
r4_r1_g01,Elite Eight,Region 1,1,Region 1,11
r4_r1_g01,Elite Eight,Region 1,16,Region 1,2
r4_r1_g01,Elite Eight,Region 1,16,Region 1,15
r4_r1_g01,Elite Eight,Region 1,16,Region 1,7
r4_r1_g01,Elite Eight,Region 1,16,Region 1,10
r4_r1_g01,Elite Eight,Region 1,16,Region 1,3
r4_r1_g01,Elite Eight,Region 1,16,Region 1,14
r4_r1_g01,Elite Eight,Region 1,16,Region 1,6
r4_r1_g01,Elite Eight,Region 1,16,Region 1,11
r4_r1_g01,Elite Eight,Region 1,8,Region 1,2
r4_r1_g01,Elite Eight,Region 1,8,Region 1,15
r4_r1_g01,Elite Eight,Region 1,8,Region 1,7
r4_r1_g01,Elite Eight,Region 1,8,Region 1,10
r4_r1_g01,Elite Eight,Region 1,8,Region 1,3
r4_r1_g01,Elite Eight,Region 1,8,Region 1,14
r4_r1_g01,Elite Eight,Region 1,8,Region 1,6
r4_r1_g01,Elite Eight,Region 1,8,Region 1,11
r4_r1_g01,Elite Eight,Region 1,9,Region 1,2
r4_r1_g01,Elite Eight,Region 1,9,Region 1,15
r4_r1_g01,Elite Eight,Region 1,9,Region 1,7
