year,team,region,seed,tier,overall,offense,defense,pct_round_2,pct_sweet_16,pct_elite_eight,pct_final_four,pct_championship,pct_champion,bracket_value,5man_bpm,3man_bpm,elite_outcome_probability,efg%,def_rim_efficiency
2016,Virginia,Region 3,1,S,7.84,6.86,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.9,26.4,2,54.4,12.5799
2016,Michigan St.,Region 3,2,S,8.5,7.5,7.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,31.0,3,56.0,14.887199999999998
2016,Utah,Region 3,3,C,5.99,5.46,5.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,20.0,1,55.2,16.3339
2016,Iowa St.,Region 3,4,C,5.79,5.41,5.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.5,3,56.8,11.857900000000004
2016,Purdue,Region 3,5,B,6.97,6.42,6.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,23.8,1,53.7,12.799300000000002
2016,Seton Hall,Region 3,6,C,5.95,4.26,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,21.4,2,50.2,20.2556
2016,Dayton,Region 3,7,B,5.59,3.89,5.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.2,18.2,0,52.0,12.1442
2016,Texas Tech,Region 3,8,C,5.42,4.81,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,18.4,1,49.9,14.692100000000002
2016,Butler,Region 3,9,C,5.29,4.97,4.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,15.8,2,52.5,12.8159
2016,Syracuse,Region 3,10,C,4.92,4.12,5.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,17.3,1,50.4,14.348600000000005
2016,Gonzaga,Region 3,11,C,5.91,5.57,6.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.8,20.9,2,55.3,16.0054
2016,Little Rock,Region 3,12,C,5.26,3.34,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,15.8,2,52.4,16.1479
2016,Iona,Region 3,13,F,3.72,3.94,4.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,13.8,2,53.8,19.2251
2016,Fresno St.,Region 3,14,D,4.09,3.25,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,11.6,1,48.2,13.515
2016,Middle Tennessee,Region 3,15,F,4.04,2.98,4.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,15.6,1,51.8,13.789
2016,Hampton,Region 3,16,F,1.23,0.8,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,1.5,1,47.2,16.903700000000004
2016,Kansas,Region 1,1,S,7.93,6.74,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.3,24.2,2,55.9,15.3628
2016,Villanova,Region 1,2,S,7.8,6.75,6.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.3,26.6,0,54.3,13.668
2016,Miami FL,Region 1,3,B,6.43,5.93,5.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,19.5,0,53.9,14.6824
2016,California,Region 1,4,C,5.75,4.8,6.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.5,15.9,0,52.5,14.991200000000005
2016,Maryland,Region 1,5,C,6.52,6.19,6.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,19.9,2,55.6,13.5808
2016,Arizona,Region 1,6,B,6.57,6.31,5.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9,17.4,2,53.8,12.6038
2016,Iowa,Region 1,7,C,6.32,5.05,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,21.6,3,51.8,12.317400000000005
2016,Colorado,Region 1,8,C,5.34,4.01,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,19.1,2,48.4,19.0248
2016,Connecticut,Region 1,9,B,6.07,4.61,6.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,20.8,0,52.0,15.4781
2016,Temple,Region 1,10,D,4.02,1.84,5.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,10.9,1,46.9,15.094799999999998
2016,Wichita St.,Region 1,11,B,7.0,5.02,7.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.8,25.3,1,49.6,14.0434
2016,South Dakota St.,Region 1,12,F,4.32,3.67,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,14.8,0,51.4,13.3352
2016,Hawaii,Region 1,13,D,5.54,5.24,6.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.3,19.5,0,52.5,11.1813
2016,Buffalo,Region 1,14,F,3.07,2.72,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,11.1,0,49.6,16.830399999999997
2016,UNC Asheville,Region 1,15,F,2.54,1.88,3.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.5,0,49.9,16.5243
2016,Austin Peay,Region 1,16,F,1.07,2.63,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.3,0,51.5,13.304100000000002
2016,Oregon,Region 4,1,B,6.29,5.8,5.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,20.2,2,52.3,17.8019
2016,Oklahoma,Region 4,2,A,6.83,5.31,6.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.4,23.6,1,54.5,17.1759
